epoch,train_loss,val_loss,bleu1,bleu2,bleu3,bleu4
1,4.610719373920811,4.053058328142591,0.28660157101672024,0.13528121965004197,0.06313098465774863,0.03121300837949017
2,3.9090603100197545,3.7202027375531044,0.3209504798952518,0.1618595271656558,0.08276158790142049,0.043118673850419585
3,3.6442480295928337,3.5288864002106295,0.33737217343466086,0.17596242427144268,0.09252238526553809,0.049145006639266076
4,3.4709750122550713,3.398647621179083,0.3488596054038864,0.18588701525631146,0.10041660733585618,0.05463000019431962
5,3.3436088518755414,3.3016923658407418,0.34575864925359984,0.1862170089054919,0.10300503446356796,0.0564674419506823
6,3.244612393282521,3.2247040226201342,0.36395994724347647,0.20067495920332784,0.11387351592907928,0.06445775842049045
7,3.16491935881632,3.1668156651174946,0.354387378079745,0.19328399226932738,0.10881409476473258,0.06074580569301589
8,3.0960498337048477,3.115616470385509,0.3427075866437729,0.18848173644892816,0.10693731646471555,0.05981676598782851
9,3.0375995358637073,3.0764730994109137,0.3706631453275931,0.2043360782371208,0.11556770439684896,0.06435704255853601
10,2.986448784902485,3.03956900432611,0.3724053289696021,0.20685077411439642,0.11779858600285488,0.06639817311617617
11,2.9417615109853834,3.01086547572142,0.3604733036802968,0.20090258722690482,0.11550987862205271,0.0650744098005823
12,2.898460704463523,2.987033274523012,0.3788916786226686,0.21206805465462175,0.1218483781290997,0.06870111428103287
13,2.862426298277864,2.9647411130795813,0.37505915344842694,0.2095414206680799,0.12019065699236822,0.06730413549153215
14,2.8303344865491575,2.9438606758785855,0.3848853239754355,0.21592242170949877,0.1246425801696978,0.07081125260492165
15,2.7986761220872975,2.924571706231233,0.3760594145915247,0.2098738110028976,0.12040018245699627,0.06757690269288306
